Metalines: 11
Project Name: SW160120-03A
Case Name: SW160120-03A
Slide Number: 3_05
Channel Number: 4
ARA Level: 090
Tracer: BDA
Injection Site: None
Atlas Name: ARA
Atlas Version: 1
Overlap Format: Region
(HEMISPHERE:R:G:B), ATLAS ONLY, OVERLAP, REGION
(l:0:159:167), 31427, 0, PTLp_6b
(l:0:159:168), 70694, 0, PTLp_6a
(l:0:159:169), 178372, 0, PTLp_5
(l:0:159:170), 60950, 0, PTLp_4
(l:0:159:171), 102259, 0, PTLp_2/3
(l:0:159:172), 112158, 0, PTLp_1
(l:1:145:148), 31854, 0, AUDd_6b
(l:1:145:149), 70559, 0, AUDd_6a
(l:1:145:150), 169951, 0, AUDd_5
(l:1:145:151), 70111, 0, AUDd_4
(l:1:145:152), 129803, 0, AUDd_2/3
(l:1:145:153), 80621, 0, AUDd_1
(l:1:148:148), 31503, 0, AUDpo_6b
(l:1:148:149), 94288, 0, AUDPo_6a
(l:1:148:150), 216056, 0, AUDPo_5
(l:1:148:151), 111546, 0, AUDPo_4
(l:1:148:152), 245549, 70, AUDPo_2/3
(l:1:148:153), 114895, 20, AUDPo_1
(l:8:131:135), 74199, 0, VISal_6b
(l:8:131:136), 177562, 0, VISal_6a
(l:8:131:137), 406542, 0, VISal_5
(l:8:131:138), 189559, 0, VISal_4
(l:8:131:139), 326429, 0, VISal_2/3
(l:8:131:140), 159675, 0, VISal_1
(l:8:132:135), 96358, 0, VISp_6b
(l:8:132:136), 381636, 0, VISp_6a
(l:8:132:137), 668677, 0, VISp_5
(l:8:132:138), 392394, 0, VISp_4
(l:8:132:139), 638982, 0, VISp_2/3
(l:8:132:140), 302752, 0, VISp_1
(l:8:133:135), 42048, 0, VISam_6b
(l:8:133:136), 148135, 0, VISam_6a
(l:8:133:137), 308465, 0, VISam_5
(l:8:133:138), 182370, 0, VISam_4
(l:8:133:139), 257084, 0, VISam_2/3
(l:8:133:140), 157101, 1, VISam_1
(l:13:159:141), 38552, 0, ECT_6b
(l:13:159:142), 64985, 0, ECT_6a
(l:13:159:143), 135810, 0, ECT_5
(l:13:159:144), 179660, 1, ECT_2/3
(l:13:159:145), 109666, 9, ECT_1
(l:14:150:128), 10772, 0, PERI_6b
(l:14:150:129), 24473, 0, PERI_6a
(l:14:150:130), 49569, 101, PERI_5
(l:14:150:131), 42321, 25, PERI_2/3
(l:14:150:132), 62175, 0, PERI_1
(l:21:176:174), 29034, 0, TEa_6b
(l:21:176:175), 70682, 0, TEa_6a
(l:21:176:176), 148865, 0, TEa_5
(l:21:176:177), 58294, 0, TEa_4
(l:21:176:178), 153592, 3, TEa_2/3
(l:21:176:179), 74843, 7, TEa_1
(l:26:165:147), 15898, 0, RSPv_6b
(l:26:165:148), 322310, 0, RSPv_6a
(l:26:165:149), 563773, 0, RSPv_5
(l:26:165:150), 284559, 0, RSPv_2/3
(l:26:165:151), 103428, 0, RSPv_2
(l:26:165:152), 365503, 0, RSPv_1
(l:26:166:148), 18218, 0, RSPd_6b
(l:26:166:149), 210446, 0, RSPd_6a
(l:26:166:150), 171280, 0, RSPd_5
(l:26:166:151), 139738, 0, RSPd_2/3
(l:26:166:152), 80653, 0, RSPd_1
(l:26:167:148), 24013, 0, RSPagl_6b
(l:26:167:149), 102432, 0, RSPagl_6a
(l:26:167:150), 152079, 0, RSPagl_5
(l:26:167:151), 137381, 0, RSPagl_2/3
(l:26:167:152), 81812, 0, RSPagl_1
(l:50:182:32), 96348, 0, ENTm_6
(l:50:182:33), 105874, 1, ENTm_5
(l:50:182:34), 33113, 0, ENTm_4
(l:50:182:35), 160470, 0, ENTm_3
(l:50:182:38), 207607, 0, ENTm_2
(l:50:182:39), 268423, 20, ENTm_1
(l:50:183:34), 19146, 0, ENTmv_5/6
(l:50:183:35), 39111, 0, ENTmv_3
(l:50:183:36), 131723, 0, ENTmv_2
(l:50:183:37), 219754, 17, ENTmv_1
(l:50:184:27), 254119, 53, ENTl_6
(l:50:184:30), 334379, 164, ENTl_5
(l:50:184:32), 350194, 121, ENTl_4
(l:50:184:34), 307076, 370, ENTl_3
(l:50:184:35), 454890, 245, ENTl_2b
(l:50:184:36), 310554, 117, ENTl_2a
(l:50:184:38), 495809, 49, ENTl_1
(l:72:200:60), 95992, 0, POST_3
(l:72:200:61), 71630, 0, POST_2
(l:72:200:62), 61186, 0, POST_1
(l:75:181:71), 207876, 0, SUBd_m
(l:75:181:72), 191164, 0, SUBd_sr
(l:75:181:73), 1027941, 0, SUBd_sp
(l:75:182:71), 693957, 23, SUBv_m
(l:75:182:72), 498062, 0, SUBv_sr
(l:75:182:73), 1524094, 18, SUBv_sp
(l:89:185:72), 53890, 0, PRE_2
(l:89:185:73), 44086, 0, PRE_1
(l:126:209:75), 2159224, 0, DG_mo
(l:126:209:76), 930738, 4, DG_sg
(l:126:209:77), 945388, 4, DG_po
(l:126:212:75), 100885, 0, CA1_so
(l:126:212:76), 771992, 0, CA1_sp
(l:126:212:77), 510208, 1, CA1_sr
(l:126:212:78), 770389, 27, CA1_slm
(l:170:170:173), 7154, 0, AQ
(l:176:255:184), 2779, 0, BORDER1
(l:191:218:227), 38164, 0, BORDER0
(l:204:204:158), 1753822, 848, mcp/cst/ml/cpd
