Metalines: 11
Project Name: SW160120-03A
Case Name: SW160120-03A
Slide Number: 3_07
Channel Number: 4
ARA Level: 093
Tracer: BDA
Injection Site: None
Atlas Name: ARA
Atlas Version: 1
Overlap Format: Region
(HEMISPHERE:R:G:B), ATLAS ONLY, OVERLAP, REGION
(l:0:159:167), 37260, 5, PTLp_6b
(l:0:159:168), 80751, 2, PTLp_6a
(l:0:159:169), 224189, 75, PTLp_5
(l:0:159:170), 61740, 27, PTLp_4
(l:0:159:171), 158744, 35, PTLp_2/3
(l:0:159:172), 85375, 6, PTLp_1
(l:8:129:135), 52087, 0, VISl_6b
(l:8:129:136), 137105, 0, VISl_6a
(l:8:129:137), 271726, 10, VISl_5
(l:8:129:138), 114488, 0, VISl_4
(l:8:129:139), 301315, 21, VISl_2/3
(l:8:129:140), 134122, 37, VISl_1
(l:8:130:135), 19866, 0, VISpm_6b
(l:8:130:136), 132425, 0, VISpm_6a
(l:8:130:137), 139430, 0, VISpm_5
(l:8:130:138), 93212, 0, VISpm_4
(l:8:130:139), 184823, 0, VISpm_2/3
(l:8:130:140), 135381, 0, VISpm_1
(l:8:132:135), 128384, 0, VISp_6b
(l:8:132:136), 473935, 16, VISp_6a
(l:8:132:137), 636396, 120, VISp_5
(l:8:132:138), 394183, 38, VISp_4
(l:8:132:139), 937392, 91, VISp_2/3
(l:8:132:140), 344061, 69, VISp_1
(l:13:159:141), 26681, 10, ECT_6b
(l:13:159:142), 68798, 31, ECT_6a
(l:13:159:143), 268655, 65, ECT_5
(l:13:159:144), 248946, 6, ECT_2/3
(l:13:159:145), 132635, 0, ECT_1
(l:14:150:128), 4279, 0, PERI_6b
(l:14:150:129), 9763, 0, PERI_6a
(l:14:150:130), 73324, 1, PERI_5
(l:14:150:131), 72004, 0, PERI_2/3
(l:14:150:132), 57179, 0, PERI_1
(l:21:176:174), 64207, 19, TEa_6b
(l:21:176:175), 121926, 183, TEa_6a
(l:21:176:176), 551257, 1524, TEa_5
(l:21:176:177), 157163, 102, TEa_4
(l:21:176:178), 369990, 135, TEa_2/3
(l:21:176:179), 215488, 84, TEa_1
(l:26:165:147), 2774, 0, RSPv_6b
(l:26:165:148), 103077, 0, RSPv_6a
(l:26:165:149), 326926, 0, RSPv_5
(l:26:165:150), 210133, 0, RSPv_2/3
(l:26:165:151), 85348, 0, RSPv_2
(l:26:165:152), 291535, 0, RSPv_1
(l:26:166:148), 11231, 0, RSPd_6b
(l:26:166:149), 243433, 0, RSPd_6a
(l:26:166:150), 217139, 0, RSPd_5
(l:26:166:151), 115380, 0, RSPd_2/3
(l:26:166:152), 106545, 0, RSPd_1
(l:26:167:148), 18756, 0, RSPagl_6b
(l:26:167:149), 170705, 0, RSPagl_6a
(l:26:167:150), 107590, 0, RSPagl_5
(l:26:167:151), 170633, 0, RSPagl_2/3
(l:26:167:152), 98374, 0, RSPagl_1
(l:50:182:32), 260294, 0, ENTm_6
(l:50:182:33), 19472, 0, ENTm_5
(l:50:182:34), 5336, 0, ENTm_4
(l:50:182:35), 7667, 0, ENTm_3
(l:50:182:38), 234670, 0, ENTm_2
(l:50:182:39), 201371, 0, ENTm_1
(l:50:184:29), 649684, 0, ENTl_6a
(l:50:184:30), 531694, 0, ENTl_5
(l:50:184:32), 165012, 0, ENTl_4
(l:50:184:34), 401472, 0, ENTl_3
(l:50:184:35), 577726, 0, ENTl_2b
(l:50:184:36), 498106, 16, ENTl_2a
(l:50:184:38), 821931, 0, ENTl_1
(l:72:200:60), 82080, 0, POST_3
(l:72:200:61), 43099, 0, POST_2
(l:72:200:62), 35692, 0, POST_1
(l:75:182:71), 1088383, 0, SUBv_m
(l:75:182:73), 2894162, 510, SUBv_sp
(l:89:185:71), 358335, 0, PRE_3
(l:89:185:72), 530934, 0, PRE_2
(l:89:185:73), 1073635, 0, PRE_1
(l:114:213:103), 184495, 0, PAR_3
(l:114:213:104), 78175, 0, PAR_2
(l:114:213:105), 46854, 0, PAR_1
(l:126:209:75), 1120220, 0, DG_mo
(l:170:170:173), 10937, 15, AQ
(l:176:255:184), 843, 0, BORDER1
(l:191:218:227), 77795, 7, BORDER0
(l:204:204:150), 442666, 71, dscp
(l:204:204:151), 360803, 22, cst/ml
(l:204:204:152), 2572463, 198, mcp/cpd/rust/ii
(l:204:204:154), 88874, 25, tsp
(l:204:204:168), 101112, 6, mlf
(l:204:204:175), 1231796, 104, fp/dhc/alv/ec
(l:204:204:187), 88381, 0, bsc
(l:254:125:255), 66609, 0, DR
(l:254:127:255), 637843, 0, IC_c
(l:254:132:253), 293090, 0, SCs_zo
(l:254:132:254), 660322, 0, SCs_sg
(l:254:132:255), 161693, 0, SCs_op
(l:254:133:249), 64590, 1, SCm_dw
(l:254:133:250), 1204804, 0, SCm_ig
(l:254:133:254), 518848, 15, SCm_iw
(l:254:133:255), 1236849, 126, SCm_dg
(l:254:138:255), 175194, 11, CLI
(l:254:139:255), 75870, 0, III
(l:254:143:255), 299258, 0, RR
(l:254:146:255), 2812632, 203, MRN
(l:254:147:255), 1528333, 1705, PAG
(l:255:100:255), 163083, 30, BORDER5
(l:255:155:136), 26294, 3, border7
(l:255:185:134), 288465, 0, NLL_v
(l:255:186:134), 1081570, 124, PG
(l:255:187:134), 796767, 266, TRN
(l:255:188:134), 1625229, 214, PRNr
(l:255:189:134), 159519, 99, CS_m
(l:255:189:135), 164992, 31, CS_l
(l:255:255:255), 40069471, 0, BORDER6
(r:0:159:167), 37265, 0, PTLp_6b
(r:0:159:168), 80753, 0, PTLp_6a
(r:0:159:169), 224264, 0, PTLp_5
(r:0:159:170), 61767, 0, PTLp_4
(r:0:159:171), 158779, 0, PTLp_2/3
(r:0:159:172), 85381, 0, PTLp_1
(r:8:129:135), 52087, 0, VISl_6b
(r:8:129:136), 137105, 0, VISl_6a
(r:8:129:137), 271736, 0, VISl_5
(r:8:129:138), 114488, 0, VISl_4
(r:8:129:139), 301336, 0, VISl_2/3
(r:8:129:140), 134159, 0, VISl_1
(r:8:130:135), 19866, 0, VISpm_6b
(r:8:130:136), 132425, 0, VISpm_6a
(r:8:130:137), 139430, 0, VISpm_5
(r:8:130:138), 93212, 0, VISpm_4
(r:8:130:139), 184823, 0, VISpm_2/3
(r:8:130:140), 135381, 0, VISpm_1
(r:8:132:135), 128384, 0, VISp_6b
(r:8:132:136), 473951, 0, VISp_6a
(r:8:132:137), 636516, 0, VISp_5
(r:8:132:138), 394221, 0, VISp_4
(r:8:132:139), 937457, 26, VISp_2/3
(r:8:132:140), 344119, 11, VISp_1
(r:13:159:141), 26691, 0, ECT_6b
(r:13:159:142), 68829, 0, ECT_6a
(r:13:159:143), 268720, 0, ECT_5
(r:13:159:144), 248952, 0, ECT_2/3
(r:13:159:145), 132635, 0, ECT_1
(r:14:150:128), 4279, 0, PERI_6b
(r:14:150:129), 9763, 0, PERI_6a
(r:14:150:130), 73325, 0, PERI_5
(r:14:150:131), 72004, 0, PERI_2/3
(r:14:150:132), 57179, 0, PERI_1
(r:21:176:174), 64226, 0, TEa_6b
(r:21:176:175), 122109, 0, TEa_6a
(r:21:176:176), 552781, 0, TEa_5
(r:21:176:177), 157265, 0, TEa_4
(r:21:176:178), 370125, 0, TEa_2/3
(r:21:176:179), 215572, 0, TEa_1
(r:26:165:147), 2774, 0, RSPv_6b
(r:26:165:148), 103077, 0, RSPv_6a
(r:26:165:149), 326926, 0, RSPv_5
(r:26:165:150), 210133, 0, RSPv_2/3
(r:26:165:151), 85348, 0, RSPv_2
(r:26:165:152), 291535, 0, RSPv_1
(r:26:166:148), 11231, 0, RSPd_6b
(r:26:166:149), 243433, 0, RSPd_6a
(r:26:166:150), 217139, 0, RSPd_5
(r:26:166:151), 115380, 0, RSPd_2/3
(r:26:166:152), 106545, 0, RSPd_1
(r:26:167:148), 18756, 0, RSPagl_6b
(r:26:167:149), 170705, 0, RSPagl_6a
(r:26:167:150), 107590, 0, RSPagl_5
(r:26:167:151), 170633, 0, RSPagl_2/3
(r:26:167:152), 98374, 0, RSPagl_1
(r:50:182:32), 260294, 0, ENTm_6
(r:50:182:33), 19472, 0, ENTm_5
(r:50:182:34), 5336, 0, ENTm_4
(r:50:182:35), 7667, 0, ENTm_3
(r:50:182:38), 234670, 0, ENTm_2
(r:50:182:39), 201371, 0, ENTm_1
(r:50:184:29), 649684, 0, ENTl_6a
(r:50:184:30), 531694, 0, ENTl_5
(r:50:184:32), 165012, 0, ENTl_4
(r:50:184:34), 401472, 0, ENTl_3
(r:50:184:35), 577726, 0, ENTl_2b
(r:50:184:36), 498122, 0, ENTl_2a
(r:50:184:38), 821931, 0, ENTl_1
(r:72:200:60), 82080, 0, POST_3
(r:72:200:61), 43099, 0, POST_2
(r:72:200:62), 35692, 0, POST_1
(r:75:182:71), 1088383, 0, SUBv_m
(r:75:182:73), 2894672, 0, SUBv_sp
(r:89:185:71), 358335, 0, PRE_3
(r:89:185:72), 530934, 0, PRE_2
(r:89:185:73), 1073635, 0, PRE_1
(r:114:213:103), 184495, 0, PAR_3
(r:114:213:104), 78175, 0, PAR_2
(r:114:213:105), 46854, 0, PAR_1
(r:126:209:75), 1120220, 0, DG_mo
(r:170:170:173), 10915, 37, AQ
(r:176:255:184), 843, 0, BORDER1
(r:191:218:227), 77762, 40, BORDER0
(r:204:204:150), 442219, 518, dscp
(r:204:204:151), 360576, 249, cst/ml
(r:204:204:152), 2571850, 811, mcp/cpd/rust/ii
(r:204:204:154), 88897, 2, tsp
(r:204:204:168), 101094, 24, mlf
(r:204:204:175), 1231900, 0, fp/dhc/alv/ec
(r:204:204:187), 88381, 0, bsc
(r:254:125:255), 66396, 213, DR
(r:254:127:255), 637843, 0, IC_c
(r:254:132:253), 293090, 0, SCs_zo
(r:254:132:254), 660322, 0, SCs_sg
(r:254:132:255), 161693, 0, SCs_op
(r:254:133:249), 64585, 6, SCm_dw
(r:254:133:250), 1204804, 0, SCm_ig
(r:254:133:254), 518846, 17, SCm_iw
(r:254:133:255), 1236914, 61, SCm_dg
(r:254:138:255), 175133, 72, CLI
(r:254:139:255), 75869, 1, III
(r:254:143:255), 297566, 1692, RR
(r:254:146:255), 2804786, 8049, MRN
(r:254:147:255), 1524148, 5890, PAG
(r:255:100:255), 163098, 15, BORDER5
(r:255:155:136), 26269, 28, border7
(r:255:185:134), 288452, 13, NLL_v
(r:255:186:134), 1080503, 1191, PG
(r:255:187:134), 795587, 1446, TRN
(r:255:188:134), 1624596, 847, PRNr
(r:255:189:134), 159445, 173, CS_m
(r:255:189:135), 164907, 116, CS_l
(r:255:255:255), 40069471, 0, BORDER6
