Metalines: 11
Project Name: SW170420-04A_olivaw
Case Name: SW170420-04A
Slide Number: 2_05
Channel Number: 2
ARA Level: 064
Tracer: PHAL
Injection Site: DP_5
Atlas Name: ARA
Atlas Version: 1
Overlap Format: Region
(HEMISPHERE:R:G:B), ATLAS ONLY, OVERLAP, REGION
(l:17:173:126), 9714, 0, VISC_6b
(l:17:173:127), 123444, 0, VISC_6a
(l:17:173:128), 247478, 0, VISC_5
(l:17:173:129), 81247, 0, VISC_4
(l:17:173:130), 227611, 0, VISC_2/3
(l:17:173:131), 233302, 0, VISC_1
(l:24:113:95), 111087, 0, SSp_tr_6b
(l:24:113:96), 567126, 0, SSp_tr_6a
(l:24:113:97), 778976, 0, SSp_tr_5
(l:24:113:98), 347383, 0, SSp_tr_4
(l:24:113:99), 681321, 0, SSp_tr_2/3
(l:24:113:100), 275984, 0, SSp_tr_1
(l:24:114:95), 176068, 0, SSp_bfd_6b
(l:24:114:96), 779271, 0, SSp_bfd_6a
(l:24:114:97), 1013248, 0, SSp_bfd_5
(l:24:114:98), 484909, 0, SSp_bfd_4
(l:24:114:99), 1107457, 0, SSp_bfd_2/3
(l:24:114:100), 391968, 0, SSp_bfd_1
(l:24:118:95), 77831, 0, SSp_ll_6b
(l:24:118:96), 302290, 0, SSp_ll_6a
(l:24:118:97), 396816, 0, SSp_ll_5
(l:24:118:98), 160716, 0, SSp_ll_4
(l:24:118:99), 334704, 0, SSp_ll_2/3
(l:24:118:100), 172819, 0, SSp_ll_1
(l:24:127:95), 161785, 0, SSs_6b
(l:24:127:96), 572879, 0, SSs_6a
(l:24:127:97), 800609, 0, SSs_5
(l:24:127:98), 324444, 0, SSs_4
(l:24:127:99), 732133, 0, SSs_2/3
(l:24:127:100), 385866, 0, SSs_1
(l:31:156:85), 11029, 0, MOs_6b
(l:31:156:86), 92746, 0, MOs_6a
(l:31:156:88), 211618, 0, MOs_5
(l:31:156:89), 187580, 0, MOs_2/3
(l:31:156:90), 117846, 0, MOs_1
(l:31:157:85), 38549, 0, MOp_6b
(l:31:157:86), 172267, 0, MOp_6a
(l:31:157:88), 202415, 0, MOp_5
(l:31:157:89), 202104, 0, MOp_2/3
(l:31:157:90), 133008, 0, MOp_1
(l:33:150:99), 105108, 0, AIp_6a
(l:33:150:100), 181828, 0, AIp_5
(l:33:150:101), 170363, 0, AIp_2/3
(l:33:150:102), 192393, 0, AIp_1
(l:64:165:98), 6098, 0, ACAv_6b
(l:64:165:99), 38104, 0, ACAv_6a
(l:64:165:100), 222652, 0, ACAv_5
(l:64:165:101), 259695, 0, ACAv_2/3
(l:64:165:102), 169134, 145, ACAv_1
(l:64:166:97), 7261, 0, ACAd_6b
(l:64:166:98), 48574, 0, ACAd_6a
(l:64:166:100), 188800, 0, ACAd_5
(l:64:166:101), 212001, 0, ACAd_2/3
(l:64:166:102), 128080, 0, ACAd_1
(l:97:231:182), 338878, 2, COAa_2
(l:97:231:183), 159481, 115, COAa_1
(l:106:203:184), 1249710, 0, PIR_3
(l:106:203:185), 545637, 0, PIR_2
(l:106:203:186), 1005408, 0, PIR_1
(l:126:208:75), 8396, 5, IG
(l:126:209:75), 169277, 0, DG_mo
(l:126:209:76), 66533, 0, DG_sg
(l:126:210:75), 351210, 0, CA3_so
(l:126:210:76), 100154, 0, CA3_sp
(l:128:192:220), 634546, 701, MEA_ad
(l:128:193:222), 82601, 0, CEA_l
(l:128:193:223), 503578, 56, CEA_m
(l:128:193:224), 355331, 0, CEA_c
(l:128:194:225), 154823, 0, IA
(l:128:196:225), 273929, 1, BA
