Metalines: 11
Project Name: SW151027-02B
Case Name: SW151027-02B
Slide Number: 3_07
Channel Number: 2
ARA Level: 090
Tracer: PHAL
Injection Site: None
Atlas Name: ARA
Atlas Version: 1
Overlap Format: Region
(HEMISPHERE:R:G:B), ATLAS ONLY, OVERLAP, REGION
(l:0:159:167), 31427, 0, PTLp_6b
(l:0:159:168), 70690, 4, PTLp_6a
(l:0:159:169), 178372, 0, PTLp_5
(l:0:159:170), 60950, 0, PTLp_4
(l:0:159:171), 102259, 0, PTLp_2/3
(l:0:159:172), 112158, 0, PTLp_1
(l:1:145:148), 31848, 6, AUDd_6b
(l:1:145:149), 70558, 1, AUDd_6a
(l:1:145:150), 169949, 2, AUDd_5
(l:1:145:151), 70111, 0, AUDd_4
(l:1:145:152), 129803, 0, AUDd_2/3
(l:1:145:153), 80610, 11, AUDd_1
(l:1:148:148), 31500, 3, AUDpo_6b
(l:1:148:149), 94286, 2, AUDPo_6a
(l:1:148:150), 216056, 0, AUDPo_5
(l:1:148:151), 111546, 0, AUDPo_4
(l:1:148:152), 245619, 0, AUDPo_2/3
(l:1:148:153), 114842, 73, AUDPo_1
(l:8:131:135), 74199, 0, VISal_6b
(l:8:131:136), 177562, 0, VISal_6a
(l:8:131:137), 406542, 0, VISal_5
(l:8:131:138), 189559, 0, VISal_4
(l:8:131:139), 326429, 0, VISal_2/3
(l:8:131:140), 159675, 0, VISal_1
(l:8:132:135), 96357, 1, VISp_6b
(l:8:132:136), 381636, 0, VISp_6a
(l:8:132:137), 668677, 0, VISp_5
(l:8:132:138), 392394, 0, VISp_4
(l:8:132:139), 638982, 0, VISp_2/3
(l:8:132:140), 302752, 0, VISp_1
(l:8:133:135), 42047, 1, VISam_6b
(l:8:133:136), 148135, 0, VISam_6a
(l:8:133:137), 308465, 0, VISam_5
(l:8:133:138), 182370, 0, VISam_4
(l:8:133:139), 257084, 0, VISam_2/3
(l:8:133:140), 157102, 0, VISam_1
(l:13:159:141), 38552, 0, ECT_6b
(l:13:159:142), 64980, 5, ECT_6a
(l:13:159:143), 135807, 3, ECT_5
(l:13:159:144), 179661, 0, ECT_2/3
(l:13:159:145), 109675, 0, ECT_1
(l:14:150:128), 10772, 0, PERI_6b
(l:14:150:129), 24473, 0, PERI_6a
(l:14:150:130), 49670, 0, PERI_5
(l:14:150:131), 42346, 0, PERI_2/3
(l:14:150:132), 62175, 0, PERI_1
(l:21:176:174), 29034, 0, TEa_6b
(l:21:176:175), 70674, 8, TEa_6a
(l:21:176:176), 148849, 16, TEa_5
(l:21:176:177), 58294, 0, TEa_4
(l:21:176:178), 153595, 0, TEa_2/3
(l:21:176:179), 74850, 0, TEa_1
(l:26:165:147), 15898, 0, RSPv_6b
(l:26:165:148), 322310, 0, RSPv_6a
(l:26:165:149), 563773, 0, RSPv_5
(l:26:165:150), 284559, 0, RSPv_2/3
(l:26:165:151), 103428, 0, RSPv_2
(l:26:165:152), 365499, 4, RSPv_1
(l:26:166:148), 18218, 0, RSPd_6b
(l:26:166:149), 210446, 0, RSPd_6a
(l:26:166:150), 171280, 0, RSPd_5
(l:26:166:151), 139738, 0, RSPd_2/3
(l:26:166:152), 80653, 0, RSPd_1
(l:26:167:148), 24013, 0, RSPagl_6b
(l:26:167:149), 102410, 22, RSPagl_6a
(l:26:167:150), 152079, 0, RSPagl_5
(l:26:167:151), 137381, 0, RSPagl_2/3
(l:26:167:152), 81803, 9, RSPagl_1
(l:50:182:32), 96347, 1, ENTm_6
(l:50:182:33), 105875, 0, ENTm_5
(l:50:182:34), 33113, 0, ENTm_4
(l:50:182:35), 160469, 1, ENTm_3
(l:50:182:38), 207602, 5, ENTm_2
(l:50:182:39), 268249, 194, ENTm_1
(l:50:183:34), 19146, 0, ENTmv_5/6
(l:50:183:35), 39110, 1, ENTmv_3
(l:50:183:36), 131723, 0, ENTmv_2
(l:50:183:37), 219742, 29, ENTmv_1
(l:50:184:27), 254161, 11, ENTl_6
(l:50:184:30), 334536, 7, ENTl_5
(l:50:184:32), 350314, 1, ENTl_4
(l:50:184:34), 307445, 1, ENTl_3
(l:50:184:35), 455135, 0, ENTl_2b
(l:50:184:36), 310671, 0, ENTl_2a
