Metalines: 11
Project Name: SW151027-02B
Case Name: SW151027-02B
Slide Number: 3_08
Channel Number: 2
ARA Level: 093
Tracer: PHAL
Injection Site: None
Atlas Name: ARA
Atlas Version: 1
Overlap Format: Region
(HEMISPHERE:R:G:B), ATLAS ONLY, OVERLAP, REGION
(l:0:159:167), 37265, 0, PTLp_6b
(l:0:159:168), 80753, 0, PTLp_6a
(l:0:159:169), 224264, 0, PTLp_5
(l:0:159:170), 61767, 0, PTLp_4
(l:0:159:171), 158779, 0, PTLp_2/3
(l:0:159:172), 85381, 0, PTLp_1
(l:8:129:135), 52087, 0, VISl_6b
(l:8:129:136), 137105, 0, VISl_6a
(l:8:129:137), 271736, 0, VISl_5
(l:8:129:138), 114488, 0, VISl_4
(l:8:129:139), 301336, 0, VISl_2/3
(l:8:129:140), 134159, 0, VISl_1
(l:8:130:135), 19866, 0, VISpm_6b
(l:8:130:136), 132425, 0, VISpm_6a
(l:8:130:137), 139430, 0, VISpm_5
(l:8:130:138), 93212, 0, VISpm_4
(l:8:130:139), 184823, 0, VISpm_2/3
(l:8:130:140), 135381, 0, VISpm_1
(l:8:132:135), 128384, 0, VISp_6b
(l:8:132:136), 473951, 0, VISp_6a
(l:8:132:137), 636516, 0, VISp_5
(l:8:132:138), 394221, 0, VISp_4
(l:8:132:139), 937483, 0, VISp_2/3
(l:8:132:140), 344130, 0, VISp_1
(l:13:159:141), 26691, 0, ECT_6b
(l:13:159:142), 68829, 0, ECT_6a
(l:13:159:143), 268720, 0, ECT_5
(l:13:159:144), 248952, 0, ECT_2/3
(l:13:159:145), 132635, 0, ECT_1
(l:14:150:128), 4279, 0, PERI_6b
(l:14:150:129), 9763, 0, PERI_6a
(l:14:150:130), 73325, 0, PERI_5
(l:14:150:131), 72004, 0, PERI_2/3
(l:14:150:132), 57179, 0, PERI_1
(l:21:176:174), 64226, 0, TEa_6b
(l:21:176:175), 122109, 0, TEa_6a
(l:21:176:176), 552781, 0, TEa_5
(l:21:176:177), 157265, 0, TEa_4
(l:21:176:178), 370125, 0, TEa_2/3
(l:21:176:179), 215572, 0, TEa_1
(l:26:165:147), 2774, 0, RSPv_6b
(l:26:165:148), 103077, 0, RSPv_6a
(l:26:165:149), 326926, 0, RSPv_5
(l:26:165:150), 210133, 0, RSPv_2/3
(l:26:165:151), 85348, 0, RSPv_2
(l:26:165:152), 291535, 0, RSPv_1
(l:26:166:148), 11231, 0, RSPd_6b
(l:26:166:149), 243433, 0, RSPd_6a
(l:26:166:150), 217139, 0, RSPd_5
(l:26:166:151), 115380, 0, RSPd_2/3
(l:26:166:152), 106545, 0, RSPd_1
(l:26:167:148), 18756, 0, RSPagl_6b
(l:26:167:149), 170705, 0, RSPagl_6a
(l:26:167:150), 107590, 0, RSPagl_5
(l:26:167:151), 170633, 0, RSPagl_2/3
(l:26:167:152), 98374, 0, RSPagl_1
(l:50:182:32), 260284, 10, ENTm_6
(l:50:182:33), 19472, 0, ENTm_5
(l:50:182:34), 5336, 0, ENTm_4
(l:50:182:35), 7667, 0, ENTm_3
(l:50:182:38), 234666, 4, ENTm_2
(l:50:182:39), 201371, 0, ENTm_1
(l:50:184:29), 649684, 0, ENTl_6a
(l:50:184:30), 531694, 0, ENTl_5
(l:50:184:32), 165012, 0, ENTl_4
(l:50:184:34), 401472, 0, ENTl_3
(l:50:184:35), 577726, 0, ENTl_2b
(l:50:184:36), 498122, 0, ENTl_2a
(l:50:184:38), 821809, 122, ENTl_1
(l:72:200:60), 82080, 0, POST_3
(l:72:200:61), 43099, 0, POST_2
(l:72:200:62), 35690, 2, POST_1
(l:75:182:71), 1088301, 82, SUBv_m
(l:75:182:73), 2894613, 59, SUBv_sp
(l:89:185:71), 358300, 35, PRE_3
(l:89:185:72), 530927, 7, PRE_2
(l:89:185:73), 1073331, 304, PRE_1
(l:114:213:103), 184488, 7, PAR_3
(l:114:213:104), 78165, 10, PAR_2
(l:114:213:105), 46834, 20, PAR_1
(l:126:209:75), 1120203, 17, DG_mo
(l:170:170:173), 10217, 735, AQ
(l:176:255:184), 843, 0, BORDER1
(l:191:218:227), 77802, 0, BORDER0
(l:204:204:150), 442675, 62, dscp
(l:204:204:151), 360825, 0, cst/ml
(l:204:204:152), 2572503, 158, mcp/cpd/rust/ii
(l:204:204:154), 88874, 25, tsp
(l:204:204:168), 101104, 14, mlf
(l:204:204:175), 1231874, 26, fp/dhc/alv/ec
(l:204:204:187), 88095, 286, bsc
(l:254:125:255), 66592, 17, DR
(l:254:127:255), 636816, 1027, IC_c
(l:254:132:253), 293007, 83, SCs_zo
(l:254:132:254), 660180, 142, SCs_sg
(l:254:132:255), 161693, 0, SCs_op
(l:254:133:249), 64431, 160, SCm_dw
(l:254:133:250), 1204607, 197, SCm_ig
(l:254:133:254), 518557, 306, SCm_iw
(l:254:133:255), 1236404, 571, SCm_dg
(l:254:138:255), 175179, 26, CLI
(l:254:139:255), 75870, 0, III
(l:254:143:255), 299258, 0, RR
(l:254:146:255), 2812152, 683, MRN
(l:254:147:255), 1517329, 12709, PAG
(l:255:100:255), 163069, 44, BORDER5
(l:255:155:136), 26239, 58, border7
(l:255:185:134), 288465, 0, NLL_v
(l:255:186:134), 1081619, 75, PG
(l:255:187:134), 796983, 50, TRN
(l:255:188:134), 1625098, 345, PRNr
(l:255:189:134), 159597, 21, CS_m
(l:255:189:135), 165011, 12, CS_l
(l:255:255:255), 40069471, 0, BORDER6
(r:0:159:167), 37265, 0, PTLp_6b
(r:0:159:168), 80753, 0, PTLp_6a
(r:0:159:169), 224199, 65, PTLp_5
(r:0:159:170), 61767, 0, PTLp_4
(r:0:159:171), 158779, 0, PTLp_2/3
(r:0:159:172), 85211, 170, PTLp_1
(r:8:129:135), 52087, 0, VISl_6b
(r:8:129:136), 137104, 1, VISl_6a
(r:8:129:137), 271613, 123, VISl_5
(r:8:129:138), 114488, 0, VISl_4
(r:8:129:139), 301336, 0, VISl_2/3
(r:8:129:140), 134159, 0, VISl_1
(r:8:130:135), 19866, 0, VISpm_6b
(r:8:130:136), 132425, 0, VISpm_6a
(r:8:130:137), 139430, 0, VISpm_5
(r:8:130:138), 93212, 0, VISpm_4
(r:8:130:139), 184823, 0, VISpm_2/3
(r:8:130:140), 135381, 0, VISpm_1
(r:8:132:135), 128384, 0, VISp_6b
(r:8:132:136), 473941, 10, VISp_6a
(r:8:132:137), 636516, 0, VISp_5
(r:8:132:138), 394221, 0, VISp_4
(r:8:132:139), 937483, 0, VISp_2/3
(r:8:132:140), 344130, 0, VISp_1
(r:13:159:141), 26691, 0, ECT_6b
(r:13:159:142), 68743, 86, ECT_6a
(r:13:159:143), 268538, 182, ECT_5
(r:13:159:144), 248952, 0, ECT_2/3
(r:13:159:145), 132635, 0, ECT_1
(r:14:150:128), 4279, 0, PERI_6b
(r:14:150:129), 9744, 19, PERI_6a
(r:14:150:130), 73292, 33, PERI_5
(r:14:150:131), 72004, 0, PERI_2/3
(r:14:150:132), 57179, 0, PERI_1
(r:21:176:174), 64156, 70, TEa_6b
(r:21:176:175), 122076, 33, TEa_6a
(r:21:176:176), 552560, 221, TEa_5
(r:21:176:177), 157265, 0, TEa_4
(r:21:176:178), 370125, 0, TEa_2/3
(r:21:176:179), 215520, 52, TEa_1
(r:26:165:147), 2774, 0, RSPv_6b
(r:26:165:148), 103077, 0, RSPv_6a
(r:26:165:149), 326926, 0, RSPv_5
(r:26:165:150), 210133, 0, RSPv_2/3
(r:26:165:151), 85348, 0, RSPv_2
(r:26:165:152), 291535, 0, RSPv_1
(r:26:166:148), 11231, 0, RSPd_6b
(r:26:166:149), 243433, 0, RSPd_6a
(r:26:166:150), 217139, 0, RSPd_5
(r:26:166:151), 115380, 0, RSPd_2/3
(r:26:166:152), 106545, 0, RSPd_1
(r:26:167:148), 18756, 0, RSPagl_6b
(r:26:167:149), 170705, 0, RSPagl_6a
(r:26:167:150), 107590, 0, RSPagl_5
(r:26:167:151), 170633, 0, RSPagl_2/3
(r:26:167:152), 98374, 0, RSPagl_1
(r:50:182:32), 260294, 0, ENTm_6
(r:50:182:33), 19472, 0, ENTm_5
(r:50:182:34), 5336, 0, ENTm_4
(r:50:182:35), 7667, 0, ENTm_3
(r:50:182:38), 234670, 0, ENTm_2
(r:50:182:39), 201371, 0, ENTm_1
(r:50:184:29), 649577, 107, ENTl_6a
(r:50:184:30), 531504, 190, ENTl_5
(r:50:184:32), 165012, 0, ENTl_4
(r:50:184:34), 401447, 25, ENTl_3
(r:50:184:35), 577631, 95, ENTl_2b
(r:50:184:36), 498122, 0, ENTl_2a
(r:50:184:38), 821931, 0, ENTl_1
(r:72:200:60), 82080, 0, POST_3
(r:72:200:61), 43099, 0, POST_2
(r:72:200:62), 35692, 0, POST_1
(r:75:182:71), 1087792, 591, SUBv_m
(r:75:182:73), 2894451, 221, SUBv_sp
(r:89:185:71), 358335, 0, PRE_3
(r:89:185:72), 530918, 16, PRE_2
(r:89:185:73), 1073532, 103, PRE_1
(r:114:213:103), 184495, 0, PAR_3
(r:114:213:104), 78175, 0, PAR_2
(r:114:213:105), 46854, 0, PAR_1
(r:126:209:75), 1120204, 16, DG_mo
(r:170:170:173), 10474, 478, AQ
(r:176:255:184), 843, 0, BORDER1
(r:191:218:227), 77554, 248, BORDER0
(r:204:204:150), 441844, 893, dscp
(r:204:204:151), 360825, 0, cst/ml
(r:204:204:152), 2569129, 3532, mcp/cpd/rust/ii
(r:204:204:154), 88664, 235, tsp
(r:204:204:168), 100902, 216, mlf
(r:204:204:175), 1231857, 43, fp/dhc/alv/ec
(r:204:204:187), 88381, 0, bsc
(r:254:125:255), 66377, 232, DR
(r:254:127:255), 630335, 7508, IC_c
(r:254:132:253), 293073, 17, SCs_zo
(r:254:132:254), 660322, 0, SCs_sg
(r:254:132:255), 161536, 157, SCs_op
(r:254:133:249), 64245, 346, SCm_dw
(r:254:133:250), 1203760, 1044, SCm_ig
(r:254:133:254), 518454, 409, SCm_iw
(r:254:133:255), 1234106, 2869, SCm_dg
(r:254:138:255), 175014, 191, CLI
