Metalines: 11
Project Name: SW151027-02B
Case Name: SW151027-02B
Slide Number: 2_04
Channel Number: 2
ARA Level: 056
Tracer: PHAL
Injection Site: None
Atlas Name: ARA
Atlas Version: 1
Overlap Format: Region
(HEMISPHERE:R:G:B), ATLAS ONLY, OVERLAP, REGION
(l:0:156:113), 98175, 0, GU_6a
(l:0:156:114), 102341, 0, GU_5
(l:0:156:115), 22638, 0, GU_4
(l:0:156:116), 87941, 0, GU_2/3
(l:0:156:117), 116195, 0, GU_1
(l:17:173:127), 107815, 0, VISC_6a
(l:17:173:128), 107073, 0, VISC_5
(l:17:173:129), 44821, 0, VISC_4
(l:17:173:130), 133767, 0, VISC_2/3
(l:17:173:131), 82833, 0, VISC_1
(l:24:114:95), 105643, 0, SSp_bfd_6b
(l:24:114:96), 566285, 4, SSp_bfd_6a
(l:24:114:97), 690325, 0, SSp_bfd_5
(l:24:114:98), 321180, 0, SSp_bfd_4
(l:24:114:99), 940654, 0, SSp_bfd_2/3
(l:24:114:100), 388469, 0, SSp_bfd_1
(l:24:117:95), 87769, 0, SSp_ul_6b
(l:24:117:96), 554915, 0, SSp_ul_6a
(l:24:117:97), 625327, 26, SSp_ul_5
(l:24:117:98), 271848, 0, SSp_ul_4
(l:24:117:99), 741017, 0, SSp_ul_2/3
(l:24:117:100), 252319, 0, SSp_ul_1
(l:24:118:95), 79378, 0, SSp_ll_6b
(l:24:118:96), 434215, 40, SSp_ll_6a
(l:24:118:97), 685944, 0, SSp_ll_5
(l:24:118:98), 188182, 0, SSp_ll_4
(l:24:118:99), 508798, 0, SSp_ll_2/3
(l:24:118:100), 212104, 0, SSp_ll_1
(l:24:127:95), 190873, 0, SSs_6b
(l:24:127:96), 483611, 34, SSs_6a
(l:24:127:97), 585052, 0, SSs_5
(l:24:127:98), 256406, 0, SSs_4
(l:24:127:99), 589231, 0, SSs_2/3
(l:24:127:100), 285886, 0, SSs_1
(l:31:156:85), 24709, 1, MOs_6b
(l:31:156:86), 130003, 8, MOs_6a
(l:31:156:88), 298751, 0, MOs_5
(l:31:156:89), 290342, 0, MOs_2/3
