Metalines: 11
Project Name: SW110321-04B
Case Name: SW110321-04B
Slide Number: 1_01
Channel Number: 2
ARA Level: 025
Tracer: PHAL
Injection Site: None
Atlas Name: ARA
Atlas Version: 1
Overlap Format: Region
(HEMISPHERE:R:G:B), ATLAS ONLY, OVERLAP, REGION
(l:31:156:88), 1023902, 9, MOs_5
(l:31:156:89), 1206629, 6, MOs_2/3
(l:31:156:90), 1277533, 6, MOs_1
(l:33:152:101), 446758, 20, AId_2/3
(l:33:152:102), 416215, 5, AId_1
(l:36:136:92), 125939, 0, ORBm_5
(l:36:136:93), 211581, 21, ORBm_2/3
(l:36:136:96), 201888, 3, ORBm_1
(l:36:137:92), 65862, 2, ORBvl_5
(l:36:137:93), 300082, 712, ORBvl_2/3
(l:36:137:94), 542079, 244, ORBvl_1
(l:36:138:92), 48910, 1, ORBl_5
(l:36:138:93), 245498, 12, ORBl_2/3
(l:36:138:94), 388604, 160, ORBl_1
(l:47:168:77), 98420, 0, PL_5
(l:47:168:79), 161642, 0, PL_2/3
(l:47:168:81), 161620, 0, PL_1
(l:84:191:144), 198804, 0, AON_e
(l:84:191:145), 398871, 0, AON_l
(l:84:191:146), 220847, 0, AON_d
(l:84:191:147), 143303, 0, AON_pv
(l:84:191:148), 290780, 0, AON_m
(l:84:191:149), 838053, 5, AON_1
(l:130:199:172), 879673, 7, MOB_gr
(l:130:199:173), 133792, 12, MOB_mi
(l:130:199:174), 511457, 0, MOB_gl
(l:130:199:175), 659905, 12, MOB_opl
(l:130:199:176), 104225, 0, MOB_ipl
(l:154:210:189), 333740, 0, border9
(l:170:170:170), 54876, 0, rc/sez
(l:176:255:184), 128, 0, BORDER1
(l:191:218:227), 19, 0, BORDER0
(l:204:204:206), 671781, 6, lot
(l:204:204:207), 168161, 0, aco
(l:255:255:255), 68471452, 0, BORDER6
(r:31:156:88), 1023757, 154, MOs_5
(r:31:156:89), 1206604, 31, MOs_2/3
(r:31:156:90), 1277499, 40, MOs_1
(r:33:152:101), 446755, 23, AId_2/3
(r:33:152:102), 416216, 4, AId_1
(r:36:136:92), 125939, 0, ORBm_5
(r:36:136:93), 211602, 0, ORBm_2/3
(r:36:136:96), 201891, 0, ORBm_1
(r:36:137:92), 65752, 112, ORBvl_5
(r:36:137:93), 300794, 0, ORBvl_2/3
(r:36:137:94), 541663, 660, ORBvl_1
(r:36:138:92), 48911, 0, ORBl_5
(r:36:138:93), 245508, 2, ORBl_2/3
(r:36:138:94), 388764, 0, ORBl_1
(r:47:168:77), 98419, 1, PL_5
(r:47:168:79), 161641, 1, PL_2/3
(r:47:168:81), 161620, 0, PL_1
(r:84:191:144), 198804, 0, AON_e
(r:84:191:145), 398871, 0, AON_l
(r:84:191:146), 220847, 0, AON_d
(r:84:191:147), 143303, 0, AON_pv
(r:84:191:148), 290780, 0, AON_m
(r:84:191:149), 838054, 4, AON_1
(r:130:199:172), 879680, 0, MOB_gr
(r:130:199:173), 133802, 2, MOB_mi
(r:130:199:174), 511457, 0, MOB_gl
(r:130:199:175), 659917, 0, MOB_opl
(r:130:199:176), 104225, 0, MOB_ipl
(r:154:210:189), 333737, 3, border9
(r:170:170:170), 54832, 44, rc/sez
(r:176:255:184), 128, 0, BORDER1
(r:191:218:227), 19, 0, BORDER0
(r:204:204:206), 671784, 3, lot
(r:204:204:207), 168100, 61, aco
(r:255:255:255), 68471452, 0, BORDER6
