Metalines: 11
Project Name: SW110321-04B
Case Name: SW110321-04B
Slide Number: 2_06
Channel Number: 2
ARA Level: 065
Tracer: PHAL
Injection Site: None
Atlas Name: ARA
Atlas Version: 1
Overlap Format: Region
(HEMISPHERE:R:G:B), ATLAS ONLY, OVERLAP, REGION
(l:17:173:127), 219831, 0, VISC_6a
(l:17:173:128), 191867, 0, VISC_5
(l:17:173:129), 104044, 0, VISC_4
(l:17:173:130), 209906, 0, VISC_2/3
(l:17:173:131), 176224, 5, VISC_1
(l:24:113:95), 153843, 0, SSp_tr_6b
(l:24:113:96), 663121, 0, SSp_tr_6a
(l:24:113:97), 748773, 0, SSp_tr_5
(l:24:113:98), 349456, 0, SSp_tr_4
(l:24:113:99), 824872, 0, SSp_tr_2/3
(l:24:113:100), 275436, 0, SSp_tr_1
(l:24:114:95), 137274, 0, SSp_bfd_6b
(l:24:114:96), 779352, 0, SSp_bfd_6a
(l:24:114:97), 831805, 0, SSp_bfd_5
(l:24:114:98), 451900, 0, SSp_bfd_4
(l:24:114:99), 842250, 9, SSp_bfd_2/3
(l:24:114:100), 213500, 0, SSp_bfd_1
(l:24:118:95), 88771, 0, SSp_ll_6b
(l:24:118:96), 416600, 0, SSp_ll_6a
(l:24:118:97), 416235, 0, SSp_ll_5
(l:24:118:98), 187893, 0, SSp_ll_4
(l:24:118:99), 372983, 0, SSp_ll_2/3
(l:24:118:100), 155761, 0, SSp_ll_1
(l:24:127:95), 112933, 0, SSs_6b
(l:24:127:96), 622028, 0, SSs_6a
(l:24:127:97), 654739, 0, SSs_5
(l:24:127:98), 331616, 0, SSs_4
(l:24:127:99), 656187, 0, SSs_2/3
(l:24:127:100), 276388, 0, SSs_1
(l:31:156:85), 17959, 809, MOs_6b
(l:31:156:86), 113421, 997, MOs_6a
(l:31:156:88), 182692, 0, MOs_5
(l:31:156:89), 126738, 0, MOs_2/3
(l:31:156:90), 77618, 0, MOs_1
(l:31:157:85), 63618, 500, MOp_6b
(l:31:157:86), 286580, 594, MOp_6a
(l:31:157:88), 307497, 0, MOp_5
(l:31:157:89), 217797, 0, MOp_2/3
(l:31:157:90), 166949, 0, MOp_1
(l:33:150:99), 196324, 74, AIp_6a
(l:33:150:100), 224770, 0, AIp_5
(l:33:150:101), 244068, 0, AIp_2/3
(l:33:150:102), 243180, 0, AIp_1
(l:64:165:98), 27990, 982, ACAv_6b
(l:64:165:99), 53811, 820, ACAv_6a
(l:64:165:100), 221801, 534, ACAv_5
(l:64:165:101), 188180, 212, ACAv_2/3
(l:64:165:102), 159761, 0, ACAv_1
(l:64:166:97), 15117, 650, ACAd_6b
(l:64:166:98), 55244, 518, ACAd_6a
(l:64:166:100), 161658, 70, ACAd_5
(l:64:166:101), 149848, 0, ACAd_2/3
(l:64:166:102), 106907, 0, ACAd_1
(l:97:230:180), 98538, 0, COApl_3
(l:97:230:181), 88450, 0, COApl_2
(l:97:230:182), 171359, 0, COApl_1
(l:97:231:182), 534638, 0, COAa_2
(l:97:231:183), 365807, 4, COAa_1
(l:106:203:184), 905782, 0, PIR_3
(l:106:203:185), 457548, 0, PIR_2
(l:106:203:186), 755988, 18, PIR_1
(l:126:208:75), 6328, 0, IG
(l:126:209:75), 261117, 15, DG_mo
(l:126:209:76), 89049, 0, DG_sg
(l:126:210:75), 424394, 0, CA3_so
(l:126:210:76), 403385, 4, CA3_sp
(l:126:210:77), 94791, 0, CA3_slu
(l:126:210:78), 30834, 0, CA3_sr
(l:128:192:220), 461073, 0, MEA_ad
(l:128:193:222), 107175, 0, CEA_l
(l:128:193:223), 389115, 0, CEA_m
(l:128:193:224), 573189, 0, CEA_c
(l:128:194:225), 191689, 0, IA
(l:128:196:225), 265586, 0, BA
(l:132:234:128), 79542, 0, BMA_p
(l:132:234:129), 407988, 0, BMA_a
(l:133:153:203), 457038, 0, Gpi
(l:133:153:204), 709710, 0, Gpe
(l:138:218:135), 226260, 231, CLA
(l:144:203:237), 349374, 0, SI
(l:152:214:249), 4059505, 202, CP
(l:154:210:189), 35245, 0, border9
(l:157:231:156), 293245, 0, BLA_a
(l:157:232:156), 91609, 0, LA
(l:160:238:156), 195504, 0, Ep_v
(l:160:238:157), 430319, 128, EP_d
(l:170:170:169), 604960, 3, VL
(l:170:170:171), 203891, 0, V3
(l:176:255:184), 177748, 0, BORDER1
(l:191:218:227), 388188, 857, BORDER0
(l:204:204:198), 2323331, 1429, ccg/cing/fi/alv/df/ec/amc
(l:204:204:200), 83304, 1305, mtt
(l:204:204:213), 1310810, 0, int
(l:204:204:214), 61531, 124, fx
(l:204:204:217), 185381, 0, st
(l:204:204:222), 135622, 60, sm
(l:204:204:225), 430545, 41, opt
(l:242:82:62), 137762, 0, VMH_a
(l:242:84:60), 22784, 159, PVH_mpv
(l:242:84:61), 31470, 0, PVH_pv
(l:242:84:63), 97606, 306, PVH_mpd
(l:242:84:68), 103155, 463, PVH_lp
(l:242:85:60), 96033, 0, PV_i
(l:242:86:59), 192719, 0, ARH
(l:242:87:59), 377538, 0, TU
(l:242:91:59), 11998, 0, SO
(l:242:94:61), 315614, 0, AHN_p
(l:242:95:59), 318464, 1585, ZI
(l:242:96:59), 1938960, 2152, LHA
(l:242:115:59), 401521, 96, HY
(l:255:112:128), 457698, 2587, BORDER2
(l:255:133:159), 266688, 0, VPM
(l:255:134:159), 169112, 149, PCN
(l:255:137:159), 677022, 0, VPL
(l:255:138:159), 118348, 2468, SMT
