Metalines: 11
Project Name: SW160120-01B
Case Name: SW160120-01B
Slide Number: 1_20
Channel Number: 2
ARA Level: 051
Tracer: PHAL
Injection Site: ILA_5
Atlas Name: ARA
Atlas Version: 1
Overlap Format: Region
(HEMISPHERE:R:G:B), ATLAS ONLY, OVERLAP, REGION
(l:0:156:113), 104913, 0, GU_6a
(l:0:156:114), 131380, 0, GU_5
(l:0:156:115), 34536, 0, GU_4
(l:0:156:116), 155022, 0, GU_2/3
(l:0:156:117), 77895, 0, GU_1
(l:17:173:126), 27855, 5, VISC_6b
(l:17:173:127), 143851, 3, VISC_6a
(l:17:173:128), 141772, 0, VISC_5
(l:17:173:129), 73884, 0, VISC_4
(l:17:173:130), 137482, 0, VISC_2/3
(l:17:173:131), 91316, 0, VISC_1
(l:24:114:95), 104747, 8, SSp_bfd_6b
(l:24:114:96), 595407, 0, SSp_bfd_6a
(l:24:114:97), 653237, 0, SSp_bfd_5
(l:24:114:98), 406903, 0, SSp_bfd_4
(l:24:114:99), 910275, 0, SSp_bfd_2/3
(l:24:114:100), 365064, 60, SSp_bfd_1
(l:24:117:95), 69565, 0, SSp_ul_6b
(l:24:117:96), 348524, 0, SSp_ul_6a
(l:24:117:97), 460387, 0, SSp_ul_5
(l:24:117:98), 215913, 0, SSp_ul_4
(l:24:117:99), 532687, 0, SSp_ul_2/3
(l:24:117:100), 185434, 4, SSp_ul_1
(l:24:118:95), 59400, 0, SSp_ll_6b
(l:24:118:96), 227586, 0, SSp_ll_6a
(l:24:118:97), 332392, 0, SSp_ll_5
(l:24:118:98), 113686, 0, SSp_ll_4
(l:24:118:99), 295075, 0, SSp_ll_2/3
(l:24:118:100), 122252, 0, SSp_ll_1
(l:24:127:95), 106491, 0, SSs_6b
(l:24:127:96), 392867, 3, SSs_6a
(l:24:127:97), 289563, 0, SSs_5
(l:24:127:98), 204690, 0, SSs_4
(l:24:127:99), 366984, 0, SSs_2/3
(l:24:127:100), 189633, 0, SSs_1
(l:31:156:85), 36943, 0, MOs_6b
(l:31:156:86), 222234, 0, MOs_6a
(l:31:156:88), 659988, 0, MOs_5
(l:31:156:89), 390433, 0, MOs_2/3
(l:31:156:90), 229672, 0, MOs_1
(l:31:157:85), 93451, 0, MOp_6b
(l:31:157:86), 429845, 0, MOp_6a
(l:31:157:88), 774027, 0, MOp_5
(l:31:157:89), 580969, 0, MOp_2/3
(l:31:157:90), 296629, 0, MOp_1
(l:33:150:99), 72796, 0, AIp_6a
(l:33:150:100), 87897, 0, AIp_5
(l:33:150:101), 141069, 0, AIp_2/3
(l:33:150:102), 149809, 0, AIp_1
(l:64:165:98), 43001, 0, ACAv_6b
(l:64:165:99), 102915, 0, ACAv_6a
(l:64:165:100), 218052, 0, ACAv_5
(l:64:165:101), 266510, 0, ACAv_2/3
(l:64:165:102), 186875, 0, ACAv_1
(l:64:166:97), 24957, 0, ACAd_6b
(l:64:166:98), 49862, 0, ACAd_6a
(l:64:166:100), 128903, 0, ACAd_5
(l:64:166:101), 123285, 0, ACAd_2/3
(l:64:166:102), 95226, 0, ACAd_1
(l:106:203:184), 587694, 0, PIR_3
(l:106:203:185), 769466, 0, PIR_2
(l:106:203:186), 621824, 0, PIR_1
(l:126:208:75), 16048, 0, IG
(l:128:204:249), 24573, 0, isl
(l:128:205:246), 499066, 0, OT_3
(l:128:205:247), 445824, 0, OT_2
(l:128:205:248), 471091, 0, OT_1
(l:128:206:248), 228515, 0, FS
(l:138:218:135), 166992, 12, CLA
(l:144:203:237), 1239553, 6, SI
(l:144:204:237), 1442532, 10017, LS_r
(l:144:204:238), 319864, 199, LS_c
(l:150:167:211), 369471, 0, NDB
(l:150:168:211), 347860, 374, MS
(l:152:214:249), 10111120, 364, CP
(l:154:210:189), 2, 0, border9
(l:160:238:157), 254570, 2, EP_d
(l:162:177:216), 475800, 0, MA
(l:170:170:169), 261197, 0, VL
(l:170:170:171), 109072, 129, V3
(l:176:255:184), 58650, 0, BORDER1
(l:179:191:223), 427655, 45, BST_AL
(l:179:191:224), 409258, 52, BST_AM
(l:179:191:225), 94871, 1, BST_fu
(l:179:191:227), 64903, 0, BST_OV
(l:191:218:227), 731694, 459, BORDER0
(l:204:204:206), 223959, 0, lot
(l:204:204:207), 237918, 4, aco
(l:204:204:211), 1310798, 8, ccg/cing
(l:204:204:212), 441955, 0, och
(l:242:97:59), 12097, 0, OV
(l:242:98:59), 105067, 4, MEPO
(l:242:99:59), 498690, 12, MPO
(l:242:100:59), 558913, 128, LPO
(l:242:109:59), 188081, 0, AVP
(l:242:110:59), 70598, 51, AVPV
(l:242:112:59), 62880, 0, PS
(l:242:113:59), 59545, 0, ADP
(l:242:115:59), 141315, 14, HY
(l:255:255:255), 42457311, 0, BORDER6
(r:0:156:113), 104878, 35, GU_6a
(r:0:156:114), 131372, 8, GU_5
(r:0:156:115), 34536, 0, GU_4
(r:0:156:116), 155014, 8, GU_2/3
(r:0:156:117), 77893, 2, GU_1
(r:17:173:126), 27858, 2, VISC_6b
(r:17:173:127), 143824, 30, VISC_6a
(r:17:173:128), 141772, 0, VISC_5
(r:17:173:129), 73884, 0, VISC_4
(r:17:173:130), 137482, 0, VISC_2/3
(r:17:173:131), 91316, 0, VISC_1
(r:24:114:95), 104754, 1, SSp_bfd_6b
(r:24:114:96), 595406, 1, SSp_bfd_6a
(r:24:114:97), 653237, 0, SSp_bfd_5
(r:24:114:98), 406903, 0, SSp_bfd_4
(r:24:114:99), 910275, 0, SSp_bfd_2/3
(r:24:114:100), 365124, 0, SSp_bfd_1
(r:24:117:95), 69564, 1, SSp_ul_6b
(r:24:117:96), 348513, 11, SSp_ul_6a
(r:24:117:97), 460381, 6, SSp_ul_5
(r:24:117:98), 215913, 0, SSp_ul_4
(r:24:117:99), 532687, 0, SSp_ul_2/3
(r:24:117:100), 185438, 0, SSp_ul_1
(r:24:118:95), 59400, 0, SSp_ll_6b
(r:24:118:96), 227581, 5, SSp_ll_6a
(r:24:118:97), 332392, 0, SSp_ll_5
(r:24:118:98), 113686, 0, SSp_ll_4
(r:24:118:99), 295075, 0, SSp_ll_2/3
(r:24:118:100), 122229, 23, SSp_ll_1
(r:24:127:95), 106490, 1, SSs_6b
(r:24:127:96), 392849, 21, SSs_6a
(r:24:127:97), 289563, 0, SSs_5
