Metalines: 11
Project Name: SW160120-01B
Case Name: SW160120-01B
Slide Number: 1_12
Channel Number: 2
ARA Level: 032
Tracer: PHAL
Injection Site: ILA_5
Atlas Name: ARA
Atlas Version: 1
Overlap Format: Region
(HEMISPHERE:R:G:B), ATLAS ONLY, OVERLAP, REGION
(l:31:156:86), 317107, 0, MOs_6a
(l:31:156:88), 1160797, 0, MOs_5
(l:31:156:89), 1212507, 0, MOs_2/3
(l:31:156:90), 625490, 0, MOs_1
(l:31:157:86), 55375, 0, MOp_6a
(l:31:157:88), 1487264, 0, MOp_5
(l:31:157:89), 1870714, 0, MOp_2/3
(l:31:157:90), 791678, 0, MOp_1
(l:33:152:98), 7848, 0, AId_6a
(l:33:152:100), 411620, 0, AId_5
(l:33:152:101), 843811, 0, AId_2/3
(l:33:152:102), 189928, 0, AId_1
(l:36:136:91), 72112, 0, ORBm_6a
(l:36:136:92), 127071, 0, ORBm_5
(l:36:136:93), 80920, 0, ORBm_2/3
(l:36:136:95), 95664, 0, ORBm_2
(l:36:136:96), 98670, 0, ORBm_1
(l:36:137:91), 18362, 0, ORBvl_6a
(l:36:137:92), 111519, 0, ORBvl_5
(l:36:137:93), 248755, 0, ORBvl_2/3
(l:36:137:94), 83795, 0, ORBvl_1
(l:36:138:91), 88991, 0, ORBl_6a
(l:36:138:92), 296058, 0, ORBl_5
(l:36:138:93), 514043, 0, ORBl_2/3
(l:36:138:94), 185732, 0, ORBl_1
(l:47:168:76), 114917, 0, PL_6a
(l:47:168:77), 215278, 0, PL_5
(l:47:168:79), 184511, 0, PL_2/3
(l:47:168:80), 167554, 0, PL_2
(l:47:168:81), 186956, 0, PL_1
(l:64:166:98), 49577, 0, ACAd_6a
(l:64:166:100), 151933, 0, ACAd_5
(l:64:166:101), 224061, 0, ACAd_2/3
(l:64:166:102), 172311, 0, ACAd_1
(l:84:191:147), 433019, 0, AON_pv
(l:84:191:148), 534714, 0, AON_m
(l:84:191:149), 373826, 0, AON_1
(l:89:179:94), 152478, 0, ILA_6a
(l:89:179:95), 260561, 0, ILA_5
(l:89:179:97), 480944, 0, ILA_2/3
(l:89:179:98), 128410, 0, ILA_2
(l:89:179:99), 131369, 0, ILA_1
(l:98:207:157), 183048, 0, TTv_3
(l:98:207:158), 302496, 0, TTv_2
(l:98:207:159), 384208, 0, TTv_1
(l:98:208:157), 262318, 0, TTd_3
(l:98:208:158), 268207, 0, TTd_2
(l:98:208:159), 366649, 0, TTd_1
(l:106:203:184), 763441, 0, PIR_3
(l:106:203:185), 991626, 0, PIR_2
(l:106:203:186), 1259439, 0, PIR_1
(l:154:210:189), 269609, 0, border9
(l:170:170:170), 36200, 0, rc/sez
(l:176:255:184), 138, 0, BORDER1
(l:191:218:227), 356, 0, BORDER0
(l:204:204:206), 259479, 0, lot
(l:204:204:207), 256075, 0, aco
(l:255:255:255), 60442733, 0, BORDER6
(r:31:156:86), 317106, 1, MOs_6a
(r:31:156:88), 1160780, 17, MOs_5
(r:31:156:89), 1212507, 0, MOs_2/3
(r:31:156:90), 625490, 0, MOs_1
(r:31:157:86), 55375, 0, MOp_6a
(r:31:157:88), 1487249, 15, MOp_5
(r:31:157:89), 1870678, 36, MOp_2/3
(r:31:157:90), 791678, 0, MOp_1
(r:33:152:98), 7848, 0, AId_6a
(r:33:152:100), 411618, 2, AId_5
(r:33:152:101), 843805, 6, AId_2/3
(r:33:152:102), 189927, 1, AId_1
(r:36:136:91), 72102, 10, ORBm_6a
(r:36:136:92), 126920, 151, ORBm_5
(r:36:136:93), 80735, 185, ORBm_2/3
(r:36:136:95), 95422, 242, ORBm_2
(r:36:136:96), 98187, 483, ORBm_1
(r:36:137:91), 18353, 9, ORBvl_6a
(r:36:137:92), 111480, 39, ORBvl_5
(r:36:137:93), 248586, 169, ORBvl_2/3
(r:36:137:94), 83729, 66, ORBvl_1
(r:36:138:91), 88991, 0, ORBl_6a
(r:36:138:92), 296032, 26, ORBl_5
(r:36:138:93), 514034, 9, ORBl_2/3
(r:36:138:94), 185731, 1, ORBl_1
(r:47:168:76), 114860, 57, PL_6a
(r:47:168:77), 215104, 174, PL_5
(r:47:168:79), 184425, 86, PL_2/3
(r:47:168:80), 167509, 45, PL_2
(r:47:168:81), 186887, 69, PL_1
(r:64:166:98), 49572, 5, ACAd_6a
(r:64:166:100), 151900, 33, ACAd_5
(r:64:166:101), 224060, 1, ACAd_2/3
(r:64:166:102), 172292, 19, ACAd_1
(r:84:191:147), 432912, 107, AON_pv
(r:84:191:148), 534199, 515, AON_m
(r:84:191:149), 372818, 1008, AON_1
(r:89:179:94), 152430, 48, ILA_6a
(r:89:179:95), 260071, 490, ILA_5
(r:89:179:97), 472108, 8836, ILA_2/3
(r:89:179:98), 122970, 5440, ILA_2
(r:89:179:99), 122021, 9348, ILA_1
(r:98:207:157), 182921, 127, TTv_3
(r:98:207:158), 302374, 122, TTv_2
(r:98:207:159), 383544, 664, TTv_1
(r:98:208:157), 258427, 3891, TTd_3
(r:98:208:158), 238695, 29512, TTd_2
(r:98:208:159), 347723, 18926, TTd_1
(r:106:203:184), 762413, 1028, PIR_3
(r:106:203:185), 991000, 626, PIR_2
(r:106:203:186), 1259180, 259, PIR_1
(r:154:210:189), 268877, 732, border9
(r:170:170:170), 36118, 82, rc/sez
(r:176:255:184), 138, 0, BORDER1
(r:191:218:227), 356, 0, BORDER0
(r:204:204:206), 259478, 1, lot
(r:204:204:207), 256056, 19, aco
(r:255:255:255), 60442733, 0, BORDER6
