Metalines: 11
Project Name: SW110614-01B
Case Name: SW110614-01B
Slide Number: 3_05
Channel Number: 2
ARA Level: 105
Tracer: PHAL
Injection Site: ACAd_5
Atlas Name: ARA
Atlas Version: 1
Overlap Format: Region
(HEMISPHERE:R:G:B), ATLAS ONLY, OVERLAP, REGION
(l:170:170:173), 222494, 87, AQ
(l:191:218:227), 99130, 1171, BORDER0
(l:204:204:126), 164497, 35, sctv/ii
(l:204:204:127), 36805, 0, mtv
(l:204:204:128), 35407, 326, cic
(l:204:204:129), 1659995, 1073, py/tb/ml/sctv/sptV/rust/vn
(l:204:204:133), 237322, 0, scp
(l:204:204:135), 143513, 0, moV
(l:204:204:154), 38020, 41, tsp
(l:204:204:165), 546887, 0, mcp
(l:204:204:168), 76972, 5333, mlf
(l:240:240:128), 147270, 0, BORDER4
(l:254:118:255), 279116, 6286, MB
(l:254:122:255), 33673, 0, MEV
(l:254:124:255), 324107, 0, CUN
(l:254:125:255), 122006, 3255, DR
(l:254:127:253), 984967, 0, IC_e
(l:254:127:254), 1088172, 1646, IC_d
(l:254:127:255), 2427292, 218, IC_c
(l:254:146:255), 227075, 11599, MRN
(l:254:147:255), 2277798, 27974, PAG
(l:255:155:136), 1, 0, border7
(l:255:155:205), 100, 0, border8
(l:255:163:210), 509160, 0, VCO
(l:255:164:210), 141346, 1205, RM
(l:255:165:210), 61471, 0, NTB
(l:255:166:134), 623109, 4738, PONS
(l:255:172:134), 106472, 4273, SLD
(l:255:173:134), 163212, 30, DTN
(l:255:174:134), 221149, 8411, LDT
(l:255:175:134), 297620, 236, PBm_m
(l:255:176:134), 132097, 10, PBl_lv
(l:255:176:135), 110044, 30, PBl_le
(l:255:176:136), 42617, 24, PBl_ld
(l:255:176:137), 259424, 54, PBl_lc
(l:255:176:138), 249764, 5, PBl_ls
(l:255:177:134), 169731, 7, SUT
(l:255:178:134), 93767, 778, SLC
(l:255:179:134), 140090, 3684, RPO
(l:255:180:134), 188694, 38, SOC_l
(l:255:180:135), 134452, 0, SOC_m
(l:255:181:134), 668693, 0, V
(l:255:182:134), 241248, 25, KF
(l:255:183:134), 1017239, 11, PSV
(l:255:184:134), 407455, 6, POR
(l:255:185:135), 247492, 0, NLL_d
(l:255:188:135), 3649998, 23169, PRNc
(l:255:247:145), 650588, 0, CUL4/5_mo
(l:255:247:146), 423462, 0, CUL4/5_gr
(l:255:248:145), 577888, 0, SIM_mo
(l:255:248:146), 325906, 0, SIM_gr
(l:255:249:145), 573752, 0, CENT2_mo
(l:255:249:146), 23734, 0, CENT2_gr
(l:255:250:145), 608770, 0, FL_mo
(l:255:250:146), 689139, 0, FL_gr
(l:255:251:145), 1146799, 0, PFL_mo
(l:255:251:146), 1253099, 0, PFL_gr
(l:255:255:255), 53576394, 0, BORDER6
(r:170:170:173), 222503, 78, AQ
(r:191:218:227), 99170, 1131, BORDER0
(r:204:204:126), 164524, 8, sctv/ii
(r:204:204:127), 36805, 0, mtv
(r:204:204:128), 35723, 10, cic
(r:204:204:129), 1655920, 5148, py/tb/ml/sctv/sptV/rust/vn
(r:204:204:133), 237322, 0, scp
(r:204:204:135), 143499, 14, moV
(r:204:204:154), 37768, 293, tsp
(r:204:204:165), 546887, 0, mcp
(r:204:204:168), 76592, 5713, mlf
(r:240:240:128), 147270, 0, BORDER4
(r:254:118:255), 272216, 13186, MB
(r:254:122:255), 33673, 0, MEV
(r:254:124:255), 321224, 2883, CUN
(r:254:125:255), 121792, 3469, DR
(r:254:127:253), 984184, 783, IC_e
(r:254:127:254), 1086370, 3448, IC_d
(r:254:127:255), 2424028, 3482, IC_c
(r:254:146:255), 222458, 16216, MRN
(r:254:147:255), 2220498, 85274, PAG
(r:255:155:136), 1, 0, border7
(r:255:155:205), 95, 5, border8
(r:255:163:210), 509148, 12, VCO
(r:255:164:210), 141104, 1447, RM
(r:255:165:210), 61297, 174, NTB
(r:255:166:134), 622674, 5173, PONS
(r:255:172:134), 98079, 12666, SLD
(r:255:173:134), 163242, 0, DTN
(r:255:174:134), 199211, 30349, LDT
(r:255:175:134), 296862, 994, PBm_m
(r:255:176:134), 132107, 0, PBl_lv
(r:255:176:135), 110074, 0, PBl_le
(r:255:176:136), 42641, 0, PBl_ld
(r:255:176:137), 259478, 0, PBl_lc
(r:255:176:138), 249587, 182, PBl_ls
(r:255:177:134), 169733, 5, SUT
(r:255:178:134), 93735, 810, SLC
(r:255:179:134), 140269, 3505, RPO
(r:255:180:134), 188732, 0, SOC_l
(r:255:180:135), 134363, 89, SOC_m
(r:255:181:134), 668693, 0, V
(r:255:182:134), 241273, 0, KF
(r:255:183:134), 1017232, 18, PSV
(r:255:184:134), 407457, 4, POR
(r:255:185:135), 247399, 93, NLL_d
(r:255:188:135), 3656490, 16677, PRNc
(r:255:247:145), 650588, 0, CUL4/5_mo
(r:255:247:146), 423462, 0, CUL4/5_gr
(r:255:248:145), 577888, 0, SIM_mo
(r:255:248:146), 325906, 0, SIM_gr
(r:255:249:145), 573752, 0, CENT2_mo
(r:255:249:146), 23734, 0, CENT2_gr
(r:255:250:145), 608770, 0, FL_mo
(r:255:250:146), 689139, 0, FL_gr
(r:255:251:145), 1146799, 0, PFL_mo
(r:255:251:146), 1253099, 0, PFL_gr
(r:255:255:255), 53576394, 0, BORDER6
